Id,OwnerUserId,CreationDate,ClosedDate,Score,Title,Body
80,26,2008-08-01T13:57:07Z,,26,SQLStatement.execute() - multiple queries in one statement,"<p>I've written a database generation script in <a href=""http://en.wikipedia.org/wiki/SQL"">SQL</a> and want to execute it in my <a href=""http://en.wikipedia.org/wiki/Adobe_Integrated_Runtime"">Adobe AIR</a> application:</p> <pre><code>Create Table tRole ( roleID integer Primary Key ;roleName varchar(40) ); Create Table tFile ( fileID integer Primary Key ;fileName varchar(50) ;fileDescription varchar(500) ;thumbnailID integer ;fileFormatID integer ;categoryID integer ;isFavorite boolean ;dateAdded date ;globalAccessCount integer ;lastAccessTime date ;downloadComplete boolean ;isNew boolean ;isSpotlight boolean ;duration varchar(30) ); Create Table tCategory ( categoryID integer Primary Key ;categoryName varchar(50) ;parent_categoryID integer ); ... </code></pre> <p>I execute this in Adobe AIR using the following methods:</p> <pre><code>public static function RunSqlFromFile(fileName:String):void { var file:File = File.applicationDirectory.resolvePath(fileName); var stream:FileStream = new FileStream(); stream.open(file; FileMode.READ) var strSql:String = stream.readUTFBytes(stream.bytesAvailable); NonQuery(strSql); } public static function NonQuery(strSQL:String):void { var sqlConnection:SQLConnection = new SQLConnection(); sqlConnection.open(File.applicationStorageDirectory.resolvePath(DBPATH); var sqlStatement:SQLStatement = new SQLStatement(); sqlStatement.text = strSQL; sqlStatement.sqlConnection = sqlConnection; try { sqlStatement.execute(); } catch (error:SQLError) { Alert.show(error.toString()); } } </code></pre> <p>No errors are generated; however only <code>tRole</code> exists. It seems that it only looks at the first query (up to the semicolon- if I remove it; the query fails). Is there a way to call multiple queries in one statement?</p>"
90,58,2008-08-01T14:41:24Z,2012-12-26T03:45:49Z,144,Good branching and merging tutorials for TortoiseSVN?,"<p>Are there any really good tutorials explaining <a href=""http://svnbook.red-bean.com/en/1.8/svn.branchmerge.html"" rel=""nofollow"">branching and merging</a> with Apache Subversion? </p> <p>All the better if it's specific to TortoiseSVN client.</p>"
120,83,2008-08-01T15:50:08Z,,21,ASP.NET Site Maps,<p>Has anyone got experience creating <strong>SQL-based ASP.NET</strong> site-map providers?</p> <p>I've got the default XML file <code>web.sitemap</code> working properly with my Menu and <strong>SiteMapPath</strong> controls; but I'll need a way for the users of my site to create and modify pages dynamically.</p> <p>I need to tie page viewing permissions into the standard <code>ASP.NET</code> membership system as well.</p>
180,2089740,2008-08-01T18:42:19Z,,53,Function for creating color wheels,<p>This is something I've pseudo-solved many times and never quite found a solution. That's stuck with me. The problem is to come up with a way to generate <code>N</code> colors; that are as distinguishable as possible where <code>N</code> is a parameter.</p>
260,91,2008-08-01T23:22:08Z,,49,Adding scripting functionality to .NET applications,"<p>I have a little game written in C#. It uses a database as back-end. It's a <a href=""http://en.wikipedia.org/wiki/Collectible_card_game"">trading card game</a>; and I wanted to implement the function of the cards as a script.</p> <p>What I mean is that I essentially have an interface; <code>ICard</code>; which a card class implements (<code>public class Card056 : ICard</code>) and which contains function that are called by the game.</p> <p>Now; to make the thing maintainable/moddable; I would like to have the class for each card as source code in the database and essentially compile it on first use. So when I have to add/change a card; I'll just add it to the database and tell my application to refresh; without needing any assembly deployment (especially since we would be talking about 1 assembly per card which means hundreds of assemblies).</p> <p>Is that possible? Register a class from a source file and then instantiate it; etc.</p> <pre><code>ICard Cards[current] = new MyGame.CardLibrary.Card056(); Cards[current].OnEnterPlay(ref currentGameState); </code></pre> <p>The language is C#; but extra bonus if it's possible to write the script in any .NET language.</p>"
330,63,2008-08-02T02:51:36Z,,29,Should I use nested classes in this case?,<p>I am working on a collection of classes used for video playback and recording. I have one main class which acts like the public interface; with methods like <code>play()</code>; <code>stop()</code>; <code>pause()</code>; <code>record()</code> etc... Then I have workhorse classes which do the video decoding and video encoding. </p> <p>I just learned about the existence of nested classes in C++; and I'm curious to know what programmers think about using them. I am a little wary and not really sure what the benefits/drawbacks are; but they seem (according to the book I'm reading) to be used in cases such as mine.</p> <p>The book suggests that in a scenario like mine; a good solution would be to nest the workhorse classes inside the interface class; so there are no separate files for classes the client is not meant to use; and to avoid any possible naming conflicts? I don't know about these justifications. Nested classes are a new concept to me. Just want to see what programmers think about the issue.</p>
470,71,2008-08-02T15:11:47Z,2016-03-26T05:23:29Z,13,Homegrown consumption of web services,<p>I've been writing a few web services for a .net app; now I'm ready to consume them. I've seen numerous examples where there is homegrown code for consuming the service as opposed to using the auto generated methods Visual Studio creates when adding the web reference. </p> <p>Is there some advantage to this?</p>
580,91,2008-08-02T23:30:59Z,,21,Deploying SQL Server Databases from Test to Live,"<p>I wonder how you guys manage deployment of a database between 2 SQL Servers; specifically SQL Server 2005. Now; there is a development and a live one. As this should be part of a buildscript (standard windows batch; even do with current complexity of those scripts; i might switch to PowerShell or so later); Enterprise Manager/Management Studio Express do not count.</p> <p>Would you just copy the .mdf File and attach it? I am always a bit careful when working with binary data; as this seems to be a compatiblity issue (even though development and live should run the same version of the server at all time).</p> <p>Or - given the lack of ""EXPLAIN CREATE TABLE"" in T-SQL - do you do something that exports an existing database into SQL-Scripts which you can run on the target server? If yes; is there a tool that can automatically dump a given Database into SQL Queries and that runs off the command line? (Again; Enterprise Manager/Management Studio Express do not count).</p> <p>And lastly - given the fact that the live database already contains data; the deployment may not involve creating all tables but rather checking the difference in structure and ALTER TABLE the live ones instead; which may also need data verification/conversion when existing fields change.</p> <p>Now; i hear a lot of great stuff about the <a href=""http://www.red-gate.com/products/index.htm"">Red Gate</a> products; but for hobby projects; the price is a bit steep.</p> <p>So; what are you using to automatically deploy SQL Server Databases from Test to Live?</p>"
650,143,2008-08-03T11:12:52Z,,79,Automatically update version number,<p>I would like the version property of my application to be incremented for each build but I'm not sure on how to enable this functionality in Visual Studio (2005/2008). I have tried to specify the AssemblyVersion as 1.0.* but it doesn't get me exactly what I want. </p>
,,,,,,
